AA0001,10.25378/janelia.5520037
AA0002,10.25378/janelia.5520049
AA0003,10.25378/janelia.5520055
AA0004,10.25378/janelia.5520205
AA0005,10.25378/janelia.5520220
AA0006,10.25378/janelia.5520223
AA0007,10.25378/janelia.5520226
AA0008,10.25378/janelia.5520451
AA0009,10.25378/janelia.5520502
AA0010,10.25378/janelia.5521600
AA0011,10.25378/janelia.5521615
AA0012,10.25378/janelia.5521618
AA0013,10.25378/janelia.5521621
AA0014,10.25378/janelia.5521624
AA0015,10.25378/janelia.5521627
AA0016,10.25378/janelia.5521630
AA0017,10.25378/janelia.5521633
AA0018,10.25378/janelia.5521636
AA0019,10.25378/janelia.5521639
AA0020,10.25378/janelia.5521642
AA0021,10.25378/janelia.5521645
AA0022,10.25378/janelia.5521648
AA0023,10.25378/janelia.5521651
AA0024,10.25378/janelia.5521654
AA0025,10.25378/janelia.5521657
AA0026,10.25378/janelia.5521660
AA0027,10.25378/janelia.5521663
AA0028,10.25378/janelia.5521666
AA0029,10.25378/janelia.5521669
AA0030,10.25378/janelia.5521672
AA0031,10.25378/janelia.5521675
AA0032,10.25378/janelia.5521678
AA0033,10.25378/janelia.5521681
AA0034,10.25378/janelia.5521684
AA0035,10.25378/janelia.5521690
AA0036,10.25378/janelia.5521696
AA0037,10.25378/janelia.5521699
AA0038,10.25378/janelia.5521702
AA0039,10.25378/janelia.5521705
AA0040,10.25378/janelia.5521708
AA0041,10.25378/janelia.5521711
AA0042,10.25378/janelia.5521714
AA0043,10.25378/janelia.5521720
AA0044,10.25378/janelia.5521723
AA0045,10.25378/janelia.5521726
AA0046,10.25378/janelia.5521729
AA0047,10.25378/janelia.5521732
AA0048,10.25378/janelia.5521735
AA0049,10.25378/janelia.5521741
AA0050,10.25378/janelia.5521744
AA0051,10.25378/janelia.5521750
AA0052,10.25378/janelia.5521753
AA0053,10.25378/janelia.5521762
AA0054,10.25378/janelia.5521765
AA0055,10.25378/janelia.5521768
AA0056,10.25378/janelia.5521771
AA0057,10.25378/janelia.5521774
AA0058,10.25378/janelia.5521777
AA0059,10.25378/janelia.5521780
AA0060,10.25378/janelia.5521783
AA0061,10.25378/janelia.5521786
AA0062,10.25378/janelia.5521789
AA0063,10.25378/janelia.5521792
AA0064,10.25378/janelia.5521798
AA0065,10.25378/janelia.5521801
AA0066,10.25378/janelia.5521807
AA0067,10.25378/janelia.5521813
AA0068,10.25378/janelia.5521816
AA0069,10.25378/janelia.5521819
AA0070,10.25378/janelia.5521825
AA0071,10.25378/janelia.5521831
AA0072,10.25378/janelia.5521834
AA0073,10.25378/janelia.5521795
AA0074,10.25378/janelia.5521804
AA0075,10.25378/janelia.5521810
AA0076,10.25378/janelia.5521822
AA0077,10.25378/janelia.5521828
AA0078,10.25378/janelia.5521843
AA0079,10.25378/janelia.5521846
AA0080,10.25378/janelia.5526619
AA0081,10.25378/janelia.5526622
AA0082,10.25378/janelia.5526625
AA0083,10.25378/janelia.5526628
AA0084,10.25378/janelia.5526631
AA0085,10.25378/janelia.5526634
AA0086,10.25378/janelia.5526637
AA0087,10.25378/janelia.5526640
AA0088,10.25378/janelia.5526643
AA0089,10.25378/janelia.5526646
AA0090,10.25378/janelia.5526649
AA0091,10.25378/janelia.5526652
AA0092,10.25378/janelia.5526655
AA0093,10.25378/janelia.5526658
AA0094,10.25378/janelia.5526661
AA0095,10.25378/janelia.5526664
AA0096,10.25378/janelia.5526667
AA0097,10.25378/janelia.5526670
AA0098,10.25378/janelia.5526673
AA0099,10.25378/janelia.5526676
AA0100,10.25378/janelia.5526679
AA0101,10.25378/janelia.5526682
AA0102,10.25378/janelia.5526685
AA0103,10.25378/janelia.5526688
AA0104,10.25378/janelia.5526691
AA0105,10.25378/janelia.5526694
AA0106,10.25378/janelia.5526697
AA0107,10.25378/janelia.5526700
AA0108,10.25378/janelia.5526703
AA0109,10.25378/janelia.5526706
AA0110,10.25378/janelia.5526712
AA0111,10.25378/janelia.5526715
AA0112,10.25378/janelia.5526709
AA0113,10.25378/janelia.5526718
AA0114,10.25378/janelia.5526721
AA0115,10.25378/janelia.5526724
AA0116,10.25378/janelia.5526727
AA0117,10.25378/janelia.5526730
AA0118,10.25378/janelia.5526733
AA0119,10.25378/janelia.5526736
AA0120,10.25378/janelia.5527234
AA0121,10.25378/janelia.5527237
AA0122,10.25378/janelia.5527240
AA0123,10.25378/janelia.5527243
AA0124,10.25378/janelia.5527246
AA0125,10.25378/janelia.5527249
AA0126,10.25378/janelia.5527252
AA0127,10.25378/janelia.5527255
AA0128,10.25378/janelia.5527258
AA0129,10.25378/janelia.5527261
AA0130,10.25378/janelia.5527264
AA0131,10.25378/janelia.5527267
AA0132,10.25378/janelia.5527270
AA0133,10.25378/janelia.5527273
AA0134,10.25378/janelia.5527276
AA0135,10.25378/janelia.5527279
AA0136,10.25378/janelia.5527282
AA0137,10.25378/janelia.5527285
AA0138,10.25378/janelia.5527288
AA0139,10.25378/janelia.5527294
AA0140,10.25378/janelia.5527297
AA0141,10.25378/janelia.5527303
AA0142,10.25378/janelia.5527309
AA0143,10.25378/janelia.5527312
AA0144,10.25378/janelia.5527306
AA0145,10.25378/janelia.5527321
AA0146,10.25378/janelia.5527318
AA0147,10.25378/janelia.5527324
AA0148,10.25378/janelia.5527333
AA0149,10.25378/janelia.5527336
AA0150,10.25378/janelia.5527339
AA0151,10.25378/janelia.5527348
AA0152,10.25378/janelia.5527351
AA0153,10.25378/janelia.5527354
AA0154,10.25378/janelia.5527357
AA0155,10.25378/janelia.5527360
AA0156,10.25378/janelia.5527363
AA0157,10.25378/janelia.5527366
AA0158,10.25378/janelia.5527369
AA0159,10.25378/janelia.5527372
AA0160,10.25378/janelia.5527375
AA0161,10.25378/janelia.5527378
AA0162,10.25378/janelia.5527381
AA0163,10.25378/janelia.5527384
AA0164,10.25378/janelia.5527390
AA0165,10.25378/janelia.5527393
AA0166,10.25378/janelia.5527396
AA0167,10.25378/janelia.5527399
AA0168,10.25378/janelia.5527402
AA0169,10.25378/janelia.5527408
AA0170,10.25378/janelia.5527411
AA0171,10.25378/janelia.5527414
AA0172,10.25378/janelia.5527417
AA0173,10.25378/janelia.5527420
AA0174,10.25378/janelia.5527423
AA0175,10.25378/janelia.5527426
AA0176,10.25378/janelia.5527429
AA0177,10.25378/janelia.5527432
AA0178,10.25378/janelia.5527435
AA0179,10.25378/janelia.5527438
AA0180,10.25378/janelia.5527441
AA0181,10.25378/janelia.5527444
AA0182,10.25378/janelia.5527447
AA0183,10.25378/janelia.5527450
AA0184,10.25378/janelia.5527453
AA0185,10.25378/janelia.5527456
AA0186,10.25378/janelia.5527462
AA0187,10.25378/janelia.5527465
AA0188,10.25378/janelia.5527468
AA0189,10.25378/janelia.5527471
AA0190,10.25378/janelia.5527474
AA0191,10.25378/janelia.5527477
AA0192,10.25378/janelia.5527480
AA0193,10.25378/janelia.5527483
AA0194,10.25378/janelia.5527489
AA0195,10.25378/janelia.5527492
AA0196,10.25378/janelia.5527495
AA0197,10.25378/janelia.5527498
AA0198,10.25378/janelia.5527501
AA0199,10.25378/janelia.5527504
AA0200,10.25378/janelia.5527510
AA0201,10.25378/janelia.5527513
AA0202,10.25378/janelia.5527516
AA0203,10.25378/janelia.5527519
AA0204,10.25378/janelia.5527522
AA0205,10.25378/janelia.5527525
AA0206,10.25378/janelia.5527528
AA0207,10.25378/janelia.5527531
AA0208,10.25378/janelia.5527534
AA0209,10.25378/janelia.5527537
AA0210,10.25378/janelia.5527540
AA0211,10.25378/janelia.5527543
AA0212,10.25378/janelia.5527546
AA0213,10.25378/janelia.5527549
AA0214,10.25378/janelia.5527552
AA0215,10.25378/janelia.5527555
AA0216,10.25378/janelia.5527558
AA0217,10.25378/janelia.5527561
AA0218,10.25378/janelia.5527564
AA0219,10.25378/janelia.5527567
AA0220,10.25378/janelia.5527570
AA0221,10.25378/janelia.5527573
AA0222,10.25378/janelia.5527576
AA0223,10.25378/janelia.5527579
AA0224,10.25378/janelia.5527582
AA0225,10.25378/janelia.5527585
AA0226,10.25378/janelia.5527591
AA0227,10.25378/janelia.5527594
AA0228,10.25378/janelia.5527597
AA0229,10.25378/janelia.5527600
AA0230,10.25378/janelia.5527603
AA0231,10.25378/janelia.5527606
AA0232,10.25378/janelia.5527609
AA0233,10.25378/janelia.5527612
AA0234,10.25378/janelia.5527615
AA0235,10.25378/janelia.5527618
AA0236,10.25378/janelia.5527621
AA0237,10.25378/janelia.5527630
AA0238,10.25378/janelia.5527633
AA0239,10.25378/janelia.5527636
AA0240,10.25378/janelia.5527642
AA0241,10.25378/janelia.5527645
AA0242,10.25378/janelia.5527648
AA0243,10.25378/janelia.5527651
AA0244,10.25378/janelia.5527654
AA0245,10.25378/janelia.5527657
AA0246,10.25378/janelia.5527663
AA0247,10.25378/janelia.5527669
AA0248,10.25378/janelia.5527672
AA0249,10.25378/janelia.5527675
AA0250,10.25378/janelia.5527678
AA0251,10.25378/janelia.5527681
AA0252,10.25378/janelia.5527684
AA0253,10.25378/janelia.5527690
AA0254,10.25378/janelia.5527693
AA0255,10.25378/janelia.5527696
AA0256,10.25378/janelia.5527699
AA0257,10.25378/janelia.5527702
AA0258,10.25378/janelia.5527705
AA0259,10.25378/janelia.5527711
AA0260,10.25378/janelia.5527714
AA0261,10.25378/janelia.5527717
AA0262,10.25378/janelia.5527720
AA0263,10.25378/janelia.5527723
AA0264,10.25378/janelia.5527726
AA0265,10.25378/janelia.5527738
AA0266,10.25378/janelia.5527741
AA0267,10.25378/janelia.5527747
AA0268,10.25378/janelia.5527750
AA0269,10.25378/janelia.5527753
AA0270,10.25378/janelia.5527759
AA0271,10.25378/janelia.5527762
AA0272,10.25378/janelia.5527765
AA0273,10.25378/janelia.5527771
AA0274,10.25378/janelia.5527774
AA0275,10.25378/janelia.5527777
AA0276,10.25378/janelia.5527780
AA0277,10.25378/janelia.5527786
AA0278,10.25378/janelia.5527789
AA0279,10.25378/janelia.5527792
AA0280,10.25378/janelia.5527795
AA0281,10.25378/janelia.5527798
AA0282,10.25378/janelia.5527801
AA0283,10.25378/janelia.5527804
AA0284,10.25378/janelia.5527807
